time,pr
2000-01-15,134.18801879882812
2000-02-15,190.97918701171875
2000-03-15,81.77577209472656
2000-04-15,142.69996643066406
2000-05-15,112.83850860595703
2000-06-15,72.22178649902344
2000-07-15,65.72124481201172
2000-08-15,147.708984375
2000-09-15,159.77810668945312
2000-10-15,323.8772277832031
2000-11-15,420.28253173828125
2000-12-15,188.1761932373047
2001-01-15,177.82192993164062
2001-02-15,57.38435745239258
2001-03-15,72.37467956542969
2001-04-15,105.04383087158203
2001-05-15,32.542442321777344
2001-06-15,69.6419677734375
2001-07-15,93.7303695678711
2001-08-15,127.40541076660156
2001-09-15,125.44171142578125
2001-10-15,274.4272766113281
2001-11-15,142.5995330810547
2001-12-15,105.50084686279297
2002-01-15,187.01898193359375
2002-02-15,175.72708129882812
2002-03-15,88.4975814819336
2002-04-15,84.03446197509766
2002-05-15,110.23556518554688
2002-06-15,124.49607849121094
2002-07-15,109.6818618774414
2002-08-15,95.31163787841797
2002-09-15,47.84049987792969
2002-10-15,143.7982940673828
2002-11-15,104.74264526367188
2002-12-15,82.94510650634766
2003-01-15,132.7910919189453
2003-02-15,55.47353744506836
2003-03-15,88.14550018310547
2003-04-15,62.478275299072266
2003-05-15,117.86888885498047
2003-06-15,100.76448822021484
2003-07-15,87.40108489990234
2003-08-15,57.30253219604492
2003-09-15,151.850341796875
2003-10-15,118.52262878417969
2003-11-15,167.1772918701172
2003-12-15,148.85195922851562
2004-01-15,
2004-02-15,
2004-03-15,
2004-04-15,
2004-05-15,
2004-06-15,
2004-07-15,
2004-08-15,
2004-09-15,
2004-10-15,
2004-11-15,
2004-12-15,
2005-01-15,
2005-02-15,
2005-03-15,
2005-04-15,
2005-05-15,
2005-06-15,
2005-07-15,
2005-08-15,
2005-09-15,
2005-10-15,
2005-11-15,
2005-12-15,
2006-01-15,
2006-02-15,
2006-03-15,
2006-04-15,
2006-05-15,
2006-06-15,
2006-07-15,
2006-08-15,
2006-09-15,
2006-10-15,
2006-11-15,
2006-12-15,
2007-01-15,
2007-02-15,
2007-03-15,
2007-04-15,
2007-05-15,
2007-06-15,
2007-07-15,
2007-08-15,
2007-09-15,
2007-10-15,
2007-11-15,
2007-12-15,
2008-01-15,
2008-02-15,
2008-03-15,
2008-04-15,
2008-05-15,
2008-06-15,
2008-07-15,
2008-08-15,
2008-09-15,
2008-10-15,
2008-11-15,
2008-12-15,
2009-01-15,
2009-02-15,
2009-03-15,
2009-04-15,
2009-05-15,
2009-06-15,
2009-07-15,
2009-08-15,
2009-09-15,
2009-10-15,
2009-11-15,
2009-12-15,
2010-01-15,
2010-02-15,
2010-03-15,
2010-04-15,
2010-05-15,
2010-06-15,
2010-07-15,
2010-08-15,
2010-09-15,
2010-10-15,
2010-11-15,
2010-12-15,
2011-01-15,
2011-02-15,
2011-03-15,
2011-04-15,
2011-05-15,
2011-06-15,
2011-07-15,
2011-08-15,
2011-09-15,
2011-10-15,
2011-11-15,
2011-12-15,
2012-01-15,
2012-02-15,
2012-03-15,
2012-04-15,
2012-05-15,
2012-06-15,
2012-07-15,
2012-08-15,
2012-09-15,
2012-10-15,
2012-11-15,
2012-12-15,
2013-01-15,
2013-02-15,
2013-03-15,
2013-04-15,
2013-05-15,
2013-06-15,
2013-07-15,
2013-08-15,
2013-09-15,
2013-10-15,
2013-11-15,
2013-12-15,
2014-01-15,
2014-02-15,
2014-03-15,
2014-04-15,
2014-05-15,
2014-06-15,
2014-07-15,
2014-08-15,
2014-09-15,
2014-10-15,
2014-11-15,
2014-12-15,
2015-01-15,
2015-02-15,
2015-03-15,
2015-04-15,
2015-05-15,
2015-06-15,
2015-07-15,
2015-08-15,
2015-09-15,
2015-10-15,
2015-11-15,
2015-12-15,
2016-01-15,
2016-02-15,
2016-03-15,
2016-04-15,
2016-05-15,
2016-06-15,
2016-07-15,
2016-08-15,
2016-09-15,
2016-10-15,
2016-11-15,
2016-12-15,
2017-01-15,
2017-02-15,
2017-03-15,
2017-04-15,
2017-05-15,
2017-06-15,
2017-07-15,
2017-08-15,
2017-09-15,
2017-10-15,
2017-11-15,
2017-12-15,
2018-01-15,
2018-02-15,
2018-03-15,
2018-04-15,
2018-05-15,
2018-06-15,
2018-07-15,
2018-08-15,
2018-09-15,
2018-10-15,
2018-11-15,
2018-12-15,
2019-01-15,
2019-02-15,
2019-03-15,
2019-04-15,
2019-05-15,
2019-06-15,
2019-07-15,
2019-08-15,
2019-09-15,
2019-10-15,
2019-11-15,
2019-12-15,
