,0
2000-06-15,1553.0001017252605
2001-06-15,2072.0504039417615
2002-06-15,1879.1055297851562
2003-06-15,1611.9138946533203
2004-06-15,1709.0946146647136
2005-06-15,1547.5375645955403
2006-06-15,2220.265028520064
2007-06-15,2009.806495666504
2008-06-15,1933.1206332120028
2009-06-15,1729.4146372477214
2010-06-15,1478.2721374511718
2011-06-15,1498.0876381613991
2012-06-15,1912.8255004882812
2013-06-15,1867.697265625
2014-06-15,1949.406785753038
2015-06-15,1789.1914367675781
2016-06-15,1834.9855013760653
2017-06-15,1878.4716552734376
2018-06-15,1547.1099243164062
2019-06-15,1867.1307312011718
