,var,station_id,period,season,trend [%/yr],trend err [%/yr],yoffs,slope,slope err,num yrs,pval,unit
0,concpm25,CY0002R,2000-2019,all,,,,,,13,,ug m-3
1,concpm25,CY0002R,2000-2019,spring,,,,,,13,,ug m-3
2,concpm25,CY0002R,2000-2019,summer,,,,,,13,,ug m-3
3,concpm25,CY0002R,2000-2019,autumn,,,,,,12,,ug m-3
4,concpm25,CY0002R,2000-2019,winter,,,,,,13,,ug m-3
5,concpm25,CY0002R,2000-2010,all,,,,,,4,,ug m-3
6,concpm25,CY0002R,2000-2010,spring,,,,,,4,,ug m-3
7,concpm25,CY0002R,2000-2010,summer,,,,,,4,,ug m-3
8,concpm25,CY0002R,2000-2010,autumn,,,,,,3,,ug m-3
9,concpm25,CY0002R,2000-2010,winter,,,,,,4,,ug m-3
10,concpm25,CY0002R,2010-2019,all,1.860930816834863,1.7712020479606738,12.017273734013239,0.22363315025965402,0.21184175544314923,10,0.10831349206349207,ug m-3
11,concpm25,CY0002R,2010-2019,spring,3.6411242337845615,2.678205665537803,11.327454839433944,0.41244670322963145,0.29702315727869666,10,0.21637345679012346,ug m-3
12,concpm25,CY0002R,2010-2019,summer,-0.02321537966754407,1.756812661279401,16.62643853823344,-0.0038598908318417577,0.2920951843261723,10,1.0,ug m-3
13,concpm25,CY0002R,2010-2019,autumn,2.0195379132648807,2.515659701781523,11.697078227996826,0.2362269295586478,0.2920241753260301,10,0.38071979717813054,ug m-3
14,concpm25,CY0002R,2010-2019,winter,2.1391153610727667,3.0241164757120367,8.685420989990234,0.18579117457071948,0.26141455968221033,10,0.38071979717813054,ug m-3
15,concpm25,CY0002R,2005-2019,all,0.8379398233661111,1.0220648097015945,12.227581602154356,0.1024597756790393,0.1243128632054189,13,0.4353804483839206,ug m-3
16,concpm25,CY0002R,2005-2019,spring,2.1452233049912626,2.023187375017617,11.152147822909892,0.23923847410413873,0.2206022966475711,13,0.3674042836022003,ug m-3
17,concpm25,CY0002R,2005-2019,summer,-1.3752010233281555,1.2329630807564516,18.920911365085182,-0.2602005667156647,0.2316651079389783,13,0.306184939674523,ug m-3
18,concpm25,CY0002R,2005-2019,autumn,1.0895127562209357,1.56197366055899,11.67856412132581,0.12723944584528613,0.18115031719207764,12,0.5452047007776174,ug m-3
19,concpm25,CY0002R,2005-2019,winter,0.052473112503076,1.3012657398982612,9.667970382806027,0.005073084975733874,0.12580432891845703,13,1.0,ug m-3
20,concpm25,GR0001R,2000-2019,all,,,,,,4,,ug m-3
21,concpm25,GR0001R,2000-2019,spring,,,,,,4,,ug m-3
22,concpm25,GR0001R,2000-2019,summer,,,,,,4,,ug m-3
23,concpm25,GR0001R,2000-2019,autumn,,,,,,4,,ug m-3
24,concpm25,GR0001R,2000-2019,winter,,,,,,2,,ug m-3
25,concpm25,GR0001R,2000-2010,all,,,,,,0,,ug m-3
26,concpm25,GR0001R,2000-2010,spring,,,,,,0,,ug m-3
27,concpm25,GR0001R,2000-2010,summer,,,,,,0,,ug m-3
28,concpm25,GR0001R,2000-2010,autumn,,,,,,0,,ug m-3
29,concpm25,GR0001R,2000-2010,winter,,,,,,0,,ug m-3
30,concpm25,GR0001R,2010-2019,all,,,,,,4,,ug m-3
31,concpm25,GR0001R,2010-2019,spring,,,,,,4,,ug m-3
32,concpm25,GR0001R,2010-2019,summer,,,,,,4,,ug m-3
33,concpm25,GR0001R,2010-2019,autumn,,,,,,4,,ug m-3
34,concpm25,GR0001R,2010-2019,winter,,,,,,2,,ug m-3
35,concpm25,GR0001R,2005-2019,all,,,,,,4,,ug m-3
36,concpm25,GR0001R,2005-2019,spring,,,,,,4,,ug m-3
37,concpm25,GR0001R,2005-2019,summer,,,,,,4,,ug m-3
38,concpm25,GR0001R,2005-2019,autumn,,,,,,4,,ug m-3
39,concpm25,GR0001R,2005-2019,winter,,,,,,2,,ug m-3
40,concpm25,SE0012R,2000-2019,all,-2.5108689338065346,0.5523677129798321,4.976604911188285,-0.12495602667331693,0.025340945701356254,18,0.00022573646929059787,ug m-3
41,concpm25,SE0012R,2000-2019,spring,-2.6760687273633006,0.7033839637316791,5.546413001893948,-0.14842582383409603,0.03726417488521997,17,3.209019424470449e-05,ug m-3
42,concpm25,SE0012R,2000-2019,summer,-3.108913901353857,0.7862880214432244,4.560772683885362,-0.1417904959784614,0.03209586143493653,18,0.0004609942250814608,ug m-3
43,concpm25,SE0012R,2000-2019,autumn,-2.652817327811727,1.0203742951735384,4.462445364111947,-0.11838052386329283,0.03988047705756295,18,0.013730471770781806,ug m-3
44,concpm25,SE0012R,2000-2019,winter,-1.3349675768292122,1.05891310170847,4.227791591926856,-0.05643964696813512,0.04326634159964374,18,0.15192280938479866,ug m-3
45,concpm25,SE0012R,2000-2010,all,-2.3597367146780583,1.088585185664763,5.106577390773529,-0.12050178155353179,0.05477870645977201,11,0.06017015392015392,ug m-3
46,concpm25,SE0012R,2000-2010,spring,-1.1275362456713904,1.244278603344708,4.790128842989603,-0.054010438919067386,0.05945512581439243,10,0.2912483465608466,ug m-3
47,concpm25,SE0012R,2000-2010,summer,-3.656602091239578,2.0895379010811763,4.493222483882198,-0.16429926730968336,0.09144487977027899,11,0.016540504248837583,ug m-3
48,concpm25,SE0012R,2000-2010,autumn,-4.861287694504804,3.105206306118995,4.861502596310206,-0.23633162748245962,0.1419186658329433,11,0.21834651074234407,ug m-3
49,concpm25,SE0012R,2000-2010,winter,0.39292004710343026,1.9075834596148502,3.784038583437602,0.014868246184455,0.07207480271657307,10,0.8618005952380953,ug m-3
50,concpm25,SE0012R,2010-2019,all,-5.673166992486127,2.529699267579437,3.833843341529972,-0.21750033499530558,0.09427411664615976,8,0.10868055555555556,ug m-3
51,concpm25,SE0012R,2010-2019,spring,-5.78043332476951,1.8992007265078992,4.348117992281914,-0.2513400614261627,0.08003358992319258,8,0.03115079365079365,ug m-3
52,concpm25,SE0012R,2010-2019,summer,-5.143430963266584,1.965386828453599,3.561109637220701,-0.18316321571667987,0.06634559233983359,8,0.03115079365079365,ug m-3
53,concpm25,SE0012R,2010-2019,autumn,-4.442202621898423,5.338827251424892,3.5940364251534156,-0.1596543803101494,0.18958511948585527,8,0.17886904761904762,ug m-3
54,concpm25,SE0012R,2010-2019,winter,-4.250238705108889,2.984531627142074,3.8634319543838505,-0.16420508027076722,0.11332108482481941,9,0.18018077601410934,ug m-3
55,concpm25,SE0012R,2005-2019,all,-2.9547904697923544,0.8395589626460833,4.355747467053659,-0.12870321104472338,0.034626972231298986,13,0.010117397391702948,ug m-3
56,concpm25,SE0012R,2005-2019,spring,-3.5308796054844396,1.138125353319195,5.077263335386913,-0.17927205562591553,0.05651960196318448,12,0.0009744810873283095,ug m-3
57,concpm25,SE0012R,2005-2019,summer,-3.532181220344982,1.0343704074007591,4.013850371042888,-0.14177646901872426,0.037686408559481306,13,0.014950091061202172,ug m-3
58,concpm25,SE0012R,2005-2019,autumn,-3.4221400104328925,1.62204532912401,4.327807688713073,-0.1481036384900411,0.06597483710006433,13,0.010117397391702948,ug m-3
59,concpm25,SE0012R,2005-2019,winter,-1.444872007785015,1.400627220238889,4.001773897806803,-0.05782051086425781,0.055534631013870385,13,0.306184939674523,ug m-3
60,concpm25,GB0048R,2000-2019,all,,,,,,13,,ug m-3
61,concpm25,GB0048R,2000-2019,spring,,,,,,13,,ug m-3
62,concpm25,GB0048R,2000-2019,summer,,,,,,12,,ug m-3
63,concpm25,GB0048R,2000-2019,autumn,,,,,,13,,ug m-3
64,concpm25,GB0048R,2000-2019,winter,,,,,,13,,ug m-3
65,concpm25,GB0048R,2000-2010,all,,,,,,5,,ug m-3
66,concpm25,GB0048R,2000-2010,spring,,,,,,5,,ug m-3
67,concpm25,GB0048R,2000-2010,summer,,,,,,5,,ug m-3
68,concpm25,GB0048R,2000-2010,autumn,,,,,,5,,ug m-3
69,concpm25,GB0048R,2000-2010,winter,,,,,,4,,ug m-3
70,concpm25,GB0048R,2010-2019,all,-4.398769342536188,1.0007883962800068,5.365566457311312,-0.23601889237761503,0.05111485498421123,9,0.0058862433862433864,ug m-3
71,concpm25,GB0048R,2010-2019,spring,-4.77134073651148,2.4232972480257553,5.643199443817139,-0.2692562739054364,0.13332160976197988,9,0.11943893298059964,ug m-3
72,concpm25,GB0048R,2010-2019,summer,-3.698557992560255,1.3499251706218243,3.644937838117283,-0.13481013973553974,0.048373500506083134,8,0.03115079365079365,ug m-3
73,concpm25,GB0048R,2010-2019,autumn,-4.733144003435188,3.8235773120444168,4.556420289145576,-0.21566193368699813,0.16828997598754028,9,0.25951829805996474,ug m-3
74,concpm25,GB0048R,2010-2019,winter,-2.741798156068538,2.906569454007364,4.4607976873715725,-0.12230606873830174,0.12672234740522173,10,0.1557418430335097,ug m-3
75,concpm25,GB0048R,2005-2019,all,-3.394084001296348,0.6929814926598216,5.810421744467777,-0.19721059483682496,0.03883254859182572,13,0.00028397849578405134,ug m-3
76,concpm25,GB0048R,2005-2019,spring,-2.5344496175838382,0.8715980459836286,6.1816917061805725,-0.15667186180750536,0.051050278686341787,13,0.04218179261582039,ug m-3
77,concpm25,GB0048R,2005-2019,summer,-3.9396094229647525,1.2478129547895032,4.401658540964127,-0.17340815464655557,0.050192638238271095,12,0.0004988835110362888,ug m-3
78,concpm25,GB0048R,2005-2019,autumn,-3.426106046472341,1.4591891174776457,6.034417231275577,-0.20674553363010134,0.0823203305403391,13,0.05725682817696707,ug m-3
79,concpm25,GB0048R,2005-2019,winter,-3.011130787259241,1.2936629078200725,5.8253309815018275,-0.17540833464375247,0.06775887901820835,13,0.05725682817696707,ug m-3
80,concpm25,ES0011R,2000-2019,all,-2.6630891767467384,0.7310966004519857,7.80623304513626,-0.20788694733665108,0.0529461701711019,18,0.002985699542918576,ug m-3
81,concpm25,ES0011R,2000-2019,spring,-2.1380134055409026,0.8760215782859956,6.886275158988105,-0.1472294860415988,0.05733379175265631,18,0.006652816887103086,ug m-3
82,concpm25,ES0011R,2000-2019,summer,-3.269677961238868,1.1216769499706523,11.22627256466792,-0.3670629599155524,0.1113784006737936,18,0.013730471770781806,ug m-3
83,concpm25,ES0011R,2000-2019,autumn,-2.0519951844253694,1.1881527003358228,6.5908618226195825,-0.13524416721228397,0.0756300555335151,18,0.047735620701410846,ug m-3
84,concpm25,ES0011R,2000-2019,winter,-2.189077700055165,1.1008298864415411,6.605328045639338,-0.14459576326258042,0.06831371784210205,18,0.08128386643802595,ug m-3
85,concpm25,ES0011R,2000-2010,all,-3.839016773448837,0.9895177226157502,9.809785851836201,-0.37659932429140264,0.09163430264329836,10,0.016666115520282188,ug m-3
86,concpm25,ES0011R,2000-2010,spring,-2.8839801099113296,1.4610945616081286,7.314192833723844,-0.2109398665251555,0.10484660996331074,10,0.10831349206349207,ug m-3
87,concpm25,ES0011R,2000-2010,summer,-4.772293133730201,2.1344426797415776,14.96086993482378,-0.7139765686459011,0.31156561573346453,10,0.016666115520282188,ug m-3
88,concpm25,ES0011R,2000-2010,autumn,-4.009131984554689,2.295410667854116,7.832371645503573,-0.31401011678907614,0.1746194100096113,10,0.21637345679012346,ug m-3
89,concpm25,ES0011R,2000-2010,winter,-4.245882396008454,3.2737489506268527,8.416390800476075,-0.3573500553766887,0.2703483899434408,9,0.18018077601410934,ug m-3
90,concpm25,ES0011R,2010-2019,all,0.954495663591139,2.1599286073576285,5.1380604318253065,0.049042564014464704,0.11090237556984939,9,0.612202380952381,ug m-3
91,concpm25,ES0011R,2010-2019,spring,-0.7968716478646495,3.9142807587909534,4.862759669621785,-0.0387499531110127,0.19020174344380708,9,1.0,ug m-3
92,concpm25,ES0011R,2010-2019,summer,3.532926288157808,3.018597041899444,6.245410993364123,0.2206457667880588,0.18677299930935812,9,0.11943893298059964,ug m-3
93,concpm25,ES0011R,2010-2019,autumn,-0.7054513800732641,3.812484408709007,5.048400878906249,-0.03561401367187493,0.1924025160925729,9,0.761414241622575,ug m-3
94,concpm25,ES0011R,2010-2019,winter,5.814667803783342,4.63995160506447,3.539925155185516,0.20583488827659974,0.1570995052655538,10,0.2912483465608466,ug m-3
95,concpm25,ES0011R,2005-2019,all,-2.2342126182812483,1.0118393321661774,6.514933358539235,-0.1455574631690979,0.0638918280601502,14,0.15716301603764402,ug m-3
96,concpm25,ES0011R,2005-2019,spring,-2.711990740622311,1.7461568622502022,6.100861718257269,-0.16545480489730835,0.10318200897287444,14,0.10102087460966429,ug m-3
97,concpm25,ES0011R,2005-2019,summer,-1.2735506205226526,2.668410988796941,7.998796685536703,-0.10186872482299805,0.212587989941992,14,0.5182528584593317,ug m-3
98,concpm25,ES0011R,2005-2019,autumn,-1.4362393199549257,1.7572566213554637,5.491650025049845,-0.0788732369740804,0.09580878416697183,14,0.3308114209974329,ug m-3
