,0
2009-02-19,
2009-02-20,
2009-02-21,
2009-02-22,
2009-02-23,
2009-02-24,
2009-02-25,1.2164583333333334
2009-02-26,0.8712499999999999
2009-02-27,0.7809999999999998
2009-02-28,0.8713478260869565
2009-03-01,
2009-03-02,
2009-03-03,
2009-03-04,
2009-03-05,1.6090000000000002
2009-03-06,
2009-03-07,
2009-03-08,
2009-03-09,
2009-03-10,
2009-03-11,
2009-03-12,
2009-03-13,
2009-03-14,0.4072631578947369
2009-03-15,0.40981818181818175
2009-03-16,
2009-03-17,1.7541363636363636
2009-03-18,3.6485833333333333
2009-03-19,
2009-03-20,
2009-03-21,
2009-03-22,0.38833333333333336
2009-03-23,
2009-03-24,0.2592777777777778
2009-03-25,
2009-03-26,
2009-03-27,
2009-03-28,0.2767727272727273
2009-03-29,0.46127777777777773
2009-03-30,0.7101363636363637
2009-03-31,1.1886956521739134
2009-04-01,1.2033181818181815
2009-04-02,2.882111111111111
2009-04-03,
2009-04-04,
2009-04-05,
2009-04-06,
2009-04-07,
2009-04-08,
2009-04-09,
2009-04-10,0.8274090909090909
2009-04-11,
2009-04-12,2.141363636363636
2009-04-13,1.5110952380952383
2009-04-14,1.6764761904761907
2009-04-15,
2009-04-16,
2009-04-17,
2009-04-18,
2009-04-19,
2009-04-20,
2009-04-21,1.5322380952380952
2009-04-22,
2009-04-23,
2009-04-24,
2009-04-25,
2009-04-26,0.6395789473684212
2009-04-27,0.32
2009-04-28,0.6362916666666666
2009-04-29,1.0103684210526314
2009-04-30,
2009-05-01,
2009-05-02,
2009-05-03,
2009-05-04,
2009-05-05,
2009-05-06,
2009-05-07,0.2565789473684211
2009-05-08,0.16757142857142857
2009-05-09,
2009-05-10,
2009-05-11,
2009-05-12,0.49100000000000005
2009-05-13,
2009-05-14,
2009-05-15,0.8530555555555557
2009-05-16,
2009-05-17,
2009-05-18,
2009-05-19,
2009-05-20,
2009-05-21,
2009-05-22,
2009-05-23,0.2871111111111111
2009-05-24,0.37986956521739124
2009-05-25,0.9349166666666666
2009-05-26,
2009-05-27,
2009-05-28,
2009-05-29,0.5507500000000001
2009-05-30,0.6182222222222222
2009-05-31,0.6844210526315788
2009-06-01,0.3079473684210526
2009-06-02,0.37754166666666666
2009-06-03,
2009-06-04,
2009-06-05,
2009-06-06,
2009-06-07,0.2644
2009-06-08,
2009-06-09,
2009-06-10,0.7134166666666668
2009-06-11,0.6766363636363635
2009-06-12,0.39731578947368434
2009-06-13,0.33739130434782605
2009-06-14,
2009-06-15,
2009-06-16,
2009-06-17,
2009-06-18,
2009-06-19,
2009-06-20,
2009-06-21,0.18220833333333333
2009-06-22,0.3054583333333332
2009-06-23,0.552375
2009-06-24,0.3270952380952381
2009-06-25,
2009-06-26,0.9777083333333336
2009-06-27,1.0900833333333333
2009-06-28,0.32937500000000003
2009-06-29,0.37274999999999997
2009-06-30,0.46445833333333336
2009-07-01,0.3129166666666667
2009-07-02,1.082478260869565
2009-07-03,
2009-07-04,
2009-07-05,
2009-07-06,
2009-07-07,
2009-07-08,0.21433333333333338
2009-07-09,0.15426086956521742
2009-07-10,0.1824583333333333
2009-07-11,0.1460416666666667
2009-07-12,
2009-07-13,
2009-07-14,
2009-07-15,
2009-07-16,
2009-07-17,
2009-07-18,
2009-07-19,
2009-07-20,
2009-07-21,
2009-07-22,
2009-07-23,
2009-07-24,
2009-07-25,
2009-07-26,
2009-07-27,
2009-07-28,
2009-07-29,
2009-07-30,
2009-07-31,
2009-08-01,
2009-08-02,
2009-08-03,
2009-08-04,
2009-08-05,0.25565
2009-08-06,
2009-08-07,0.49627777777777776
2009-08-08,0.27149999999999996
2009-08-09,0.37041666666666667
2009-08-10,0.16429166666666667
2009-08-11,0.17934999999999998
2009-08-12,0.09308333333333337
2009-08-13,0.09895833333333333
2009-08-14,0.08124999999999998
2009-08-15,0.07945833333333334
2009-08-16,0.08214285714285716
2009-08-17,
2009-08-18,0.12557142857142858
2009-08-19,0.39425000000000004
2009-08-20,
2009-08-21,
2009-08-22,
2009-08-23,
2009-08-24,
2009-08-25,
2009-08-26,
2009-08-27,
2009-08-28,
2009-08-29,
2009-08-30,
2009-08-31,0.24076190476190476
2009-09-01,
2009-09-02,
2009-09-03,
2009-09-04,
2009-09-05,
2009-09-06,
2009-09-07,
2009-09-08,0.21866666666666665
2009-09-09,0.33591666666666664
2009-09-10,
2009-09-11,
2009-09-12,
2009-09-13,0.8311500000000003
2009-09-14,
2009-09-15,
2009-09-16,
2009-09-17,
2009-09-18,
2009-09-19,1.8888421052631579
2009-09-20,0.8984166666666664
2009-09-21,
2009-09-22,
2009-09-23,
2009-09-24,0.4162500000000002
2009-09-25,0.2928333333333333
2009-09-26,0.41566666666666663
2009-09-27,0.6261666666666668
2009-09-28,0.2048333333333333
2009-09-29,0.2560833333333334
2009-09-30,0.2741666666666667
2009-10-01,0.28658333333333336
2009-10-02,0.34879166666666667
2009-10-03,0.16866666666666671
2009-10-04,0.21699999999999997
2009-10-05,1.0485
2009-10-06,0.6924166666666668
2009-10-07,0.540625
2009-10-08,
2009-10-09,
2009-10-10,0.408625
2009-10-11,0.2267916666666666
2009-10-12,0.30345833333333333
2009-10-13,1.131458333333333
2009-10-14,1.3624583333333333
2009-10-15,1.4597500000000003
2009-10-16,0.7992916666666665
2009-10-17,0.40091666666666675
2009-10-18,0.8663181818181817
2009-10-19,0.9784999999999998
2009-10-20,
2009-10-21,0.5537777777777778
2009-10-22,
2009-10-23,
2009-10-24,
2009-10-25,
2009-10-26,
2009-10-27,0.5962777777777778
2009-10-28,0.5981818181818183
2009-10-29,0.9501666666666669
2009-10-30,2.0380869565217394
2009-10-31,
2009-11-01,0.14272222222222222
2009-11-02,0.19754166666666664
2009-11-03,
2009-11-04,
2009-11-05,
2009-11-06,
2009-11-07,
2009-11-08,
2009-11-09,0.7724583333333334
2009-11-10,0.8892173913043477
2009-11-11,0.9349583333333334
2009-11-12,0.21245833333333333
2009-11-13,0.24408333333333332
2009-11-14,0.1599583333333333
2009-11-15,0.2624166666666667
2009-11-16,0.20100000000000007
2009-11-17,0.15062500000000004
2009-11-18,0.21804166666666666
2009-11-19,0.31945833333333346
2009-11-20,
2009-11-21,0.3897619047619047
2009-11-22,
2009-11-23,
2009-11-24,
2009-11-25,
2009-11-26,
2009-11-27,0.13233333333333333
2009-11-28,
2009-11-29,
2009-11-30,
2009-12-01,
2009-12-02,
2009-12-03,
2009-12-04,
2009-12-05,
2009-12-06,
2009-12-07,
2009-12-08,
2009-12-09,
2009-12-10,
2009-12-11,
2009-12-12,
2009-12-13,
2009-12-14,1.1484285714285716
2009-12-15,2.276958333333334
2009-12-16,1.9522083333333329
2009-12-17,
2009-12-18,
2009-12-19,0.9006249999999999
2009-12-20,0.3045833333333334
2009-12-21,0.4985833333333333
2009-12-22,0.780875
2009-12-23,0.6208749999999998
2009-12-24,0.47879166666666667
2009-12-25,0.7828571428571427
2009-12-26,
2009-12-27,0.12399999999999996
2009-12-28,
2009-12-29,
2009-12-30,0.5338636363636363
2009-12-31,
2010-01-01,
2010-01-02,
2010-01-03,
2010-01-04,
2010-01-05,
2010-01-06,
2010-01-07,
2010-01-08,
2010-01-09,
