,0
2011-01-01,0.312
2011-01-02,0.593
2011-01-03,1.759
2011-01-04,
2011-01-05,2.982
2011-01-06,2.852
2011-01-07,1.229
2011-01-08,1.553
2011-01-09,1.451
2011-01-10,2.252
2011-01-11,2.682
2011-01-12,1.52
2011-01-13,0.729
2011-01-14,1.141
2011-01-15,1.342
2011-01-16,1.955
2011-01-17,1.391
2011-01-18,0.682
2011-01-19,0.685
2011-01-20,0.58
2011-01-21,2.21
2011-01-22,1.338
2011-01-23,1.957
2011-01-24,
2011-01-25,0.612
2011-01-26,0.593
2011-01-27,1.382
2011-01-28,3.145
2011-01-29,1.643
2011-01-30,1.922
2011-01-31,3.901
2011-02-01,4.157
2011-02-02,3.608
2011-02-03,1.489
2011-02-04,0.745
2011-02-05,0.67
2011-02-06,0.765
2011-02-07,1.519
2011-02-08,0.551
2011-02-09,1.529
2011-02-10,2.142
2011-02-11,0.348
2011-02-12,0.521
2011-02-13,0.313
2011-02-14,0.448
2011-02-15,1.293
2011-02-16,2.415
2011-02-17,1.396
2011-02-18,0.792
2011-02-19,0.915
2011-02-20,1.026
2011-02-21,0.63
2011-02-22,0.596
2011-02-23,1.564
2011-02-24,3.305
2011-02-25,4.843
2011-02-26,4.304
2011-02-27,3.936
2011-02-28,4.15
2011-03-01,2.712
2011-03-02,2.762
2011-03-03,3.777
2011-03-04,2.41
2011-03-05,1.065
2011-03-06,1.061
2011-03-07,5.365
2011-03-08,10.083
2011-03-09,5.944
2011-03-10,3.074
2011-03-11,2.011
2011-03-12,8.201
2011-03-13,11.36
2011-03-14,7.411
2011-03-15,1.102
2011-03-16,1.135
2011-03-17,1.002
2011-03-18,1.527
2011-03-19,1.682
2011-03-20,3.396
2011-03-21,7.423
2011-03-22,3.112
2011-03-23,2.729
2011-03-24,2.439
2011-03-25,1.212
2011-03-26,0.942
2011-03-27,3.876
2011-03-28,1.998
2011-03-29,6.828
2011-03-30,5.251
2011-03-31,4.245
2011-04-01,4.378
2011-04-02,9.828
2011-04-03,6.399
2011-04-04,4.536
2011-04-05,4.93
2011-04-06,5.805
2011-04-07,1.464
2011-04-08,1.656
2011-04-09,1.829
2011-04-10,3.947
2011-04-11,6.372
2011-04-12,0.859
2011-04-13,0.659
2011-04-14,2.333
2011-04-15,4.496
2011-04-16,7.121
2011-04-17,2.811
2011-04-18,3.527
2011-04-19,4.278
2011-04-20,8.199
2011-04-21,7.001
2011-04-22,3.303
2011-04-23,3.954
2011-04-24,3.776
2011-04-25,4.702
2011-04-26,4.268
2011-04-27,3.373
2011-04-28,1.471
2011-04-29,1.659
2011-04-30,1.477
2011-05-01,0.888
2011-05-02,1.411
2011-05-03,
2011-05-04,
2011-05-05,
2011-05-06,
2011-05-07,
2011-05-08,
2011-05-09,
2011-05-10,
2011-05-11,
2011-05-12,
2011-05-13,
2011-05-14,
2011-05-15,
2011-05-16,
2011-05-17,
2011-05-18,
2011-05-19,1.918
2011-05-20,2.959
2011-05-21,2.084
2011-05-22,2.502
2011-05-23,3.268
2011-05-24,1.184
2011-05-25,1.143
2011-05-26,2.422
2011-05-27,1.442
2011-05-28,2.442
2011-05-29,1.703
2011-05-30,2.773
2011-05-31,2.06
2011-06-01,1.36
2011-06-02,2.047
2011-06-03,0.89
2011-06-04,1.291
2011-06-05,2.362
2011-06-06,3.091
2011-06-07,4.819
2011-06-08,4.584
2011-06-09,1.3
2011-06-10,1.277
2011-06-11,1.814
2011-06-12,1.909
2011-06-13,2.285
2011-06-14,1.07
2011-06-15,1.365
2011-06-16,1.867
2011-06-17,1.874
2011-06-18,1.351
2011-06-19,1.359
2011-06-20,1.103
2011-06-21,1.032
2011-06-22,0.992
2011-06-23,1.803
2011-06-24,0.411
2011-06-25,0.716
2011-06-26,1.153
2011-06-27,0.992
2011-06-28,0.951
2011-06-29,1.045
2011-06-30,0.984
2011-07-01,0.991
2011-07-02,0.869
2011-07-03,0.91
2011-07-04,
2011-07-05,
2011-07-06,1.498
2011-07-07,1.947
2011-07-08,1.812
2011-07-09,2.152
2011-07-10,2.239
2011-07-11,1.807
2011-07-12,1.195
2011-07-13,1.233
2011-07-14,1.41
2011-07-15,0.831
2011-07-16,1.731
2011-07-17,1.478
2011-07-18,1.577
2011-07-19,2.195
2011-07-20,1.645
2011-07-21,0.879
2011-07-22,1.29
2011-07-23,0.569
2011-07-24,0.659
2011-07-25,0.988
2011-07-26,1.247
2011-07-27,1.354
2011-07-28,1.514
2011-07-29,0.847
2011-07-30,1.104
2011-07-31,1.641
2011-08-01,1.73
2011-08-02,1.847
2011-08-03,
2011-08-04,2.113
2011-08-05,2.468
2011-08-06,2.02
2011-08-07,1.659
2011-08-08,
2011-08-09,2.303
2011-08-10,3.327
2011-08-11,4.994
2011-08-12,0.688
2011-08-13,0.86
2011-08-14,1.158
2011-08-15,1.07
2011-08-16,1.299
2011-08-17,2.41
2011-08-18,1.121
2011-08-19,0.664
2011-08-20,1.975
2011-08-21,3.056
2011-08-22,1.947
2011-08-23,1.564
2011-08-24,3.443
2011-08-25,3.166
2011-08-26,3.351
2011-08-27,
2011-08-28,
2011-08-29,
2011-08-30,0.265
2011-08-31,1.087
2011-09-01,1.059
2011-09-02,0.95
2011-09-03,2.756
2011-09-04,3.64
2011-09-05,1.585
2011-09-06,1.267
2011-09-07,0.55
2011-09-08,0.519
2011-09-09,1.088
2011-09-10,2.009
