,0
1999-01-15,1.7321428571428572
1999-02-15,2.595833333333333
1999-03-15,1.8661904761904764
1999-04-15,1.9672619047619047
1999-05-15,0.44466666666666665
1999-06-15,2.0946428571428575
1999-07-15,1.3200000000000003
1999-08-15,0.7116666666666667
1999-09-15,0.8066666666666666
1999-10-15,2.651190476190476
1999-11-15,1.5357142857142858
1999-12-15,5.439285714285715
2000-01-15,4.913333333333333
2000-02-15,14.825
2000-03-15,12.825
2000-04-15,13.924999999999999
2000-05-15,16.54
2000-06-15,12.95
2000-07-15,34.0
2000-08-15,12.125
2000-09-15,24.549999999999997
2000-10-15,22.4
2000-11-15,30.299999999999997
2000-12-15,12.65
2001-01-15,15.64
2001-02-15,11.100000000000001
2001-03-15,25.5
2001-04-15,18.24
2001-05-15,1.875
2001-06-15,22.049999999999997
2001-07-15,24.78
2001-08-15,10.575000000000001
2001-09-15,28.025
2001-10-15,9.02
2001-11-15,14.700000000000001
2001-12-15,10.7
2002-01-15,8.95
2002-02-15,30.675
2002-03-15,19.65
2002-04-15,7.159999999999999
2002-05-15,15.250000000000002
2002-06-15,12.825000000000001
2002-07-15,10.26
2002-08-15,27.475
2002-09-15,10.74
2002-10-15,26.15
2002-11-15,24.250000000000004
2002-12-15,11.82
2003-01-15,7.929166666666667
2003-02-15,7.1499999999999995
2003-03-15,8.22
2003-04-15,6.875
2003-05-15,22.325000000000003
2003-06-15,12.580000000000002
2003-07-15,15.375000000000002
2003-08-15,3.775
2003-09-15,16.7
2003-10-15,9.774999999999999
2003-11-15,9.75
2003-12-15,13.52
2004-01-15,17.4665
2004-02-15,4.7924999999999995
2004-03-15,2.99
2004-04-15,
2004-05-15,
2004-06-15,
2004-07-15,29.15
2004-08-15,31.76
2004-09-15,7.633333333333334
2004-10-15,13.625
2004-11-15,6.6800000000000015
2004-12-15,8.95
2005-01-15,10.1
2005-02-15,10.725000000000001
2005-03-15,4.5
2005-04-15,14.575
2005-05-15,16.880000000000003
2005-06-15,6.675000000000001
2005-07-15,15.599999999999998
2005-08-15,13.86
2005-09-15,6.975
2005-10-15,9.120000000000001
2005-11-15,7.675000000000001
2005-12-15,14.200000000000003
2006-01-15,3.9200000000000004
2006-02-15,7.925
2006-03-15,12.125
2006-04-15,13.4
2006-05-15,24.36
2006-06-15,10.2
2006-07-15,13.580000000000002
2006-08-15,39.925
2006-09-15,4.2
2006-10-15,20.02
2006-11-15,9.375
2006-12-15,9.700000000000001
2007-01-15,15.860000000000003
2007-02-15,18.675
2007-03-15,17.625
2007-04-15,0.96
2007-05-15,20.2
2007-06-15,29.9
2007-07-15,20.24
2007-08-15,16.3
2007-09-15,8.475000000000001
2007-10-15,10.819999999999999
2007-11-15,12.399999999999999
2007-12-15,18.759999999999998
2008-01-15,12.925
2008-02-15,12.825
2008-03-15,26.560000000000002
2008-04-15,12.799999999999999
2008-05-15,5.05
2008-06-15,14.5
2008-07-15,12.3
2008-08-15,19.075
2008-09-15,8.780000000000001
2008-10-15,11.925
2008-11-15,4.725
2008-12-15,6.26
2009-01-15,15.85
2009-02-15,1.2
2009-03-15,13.079999999999998
2009-04-15,8.9
2009-05-15,8.225
2009-06-15,16.6
2009-07-15,32.3
2009-08-15,5.92
2009-09-15,11.525
2009-10-15,15.475000000000001
2009-11-15,24.840000000000003
2009-12-15,13.475
2010-01-15,8.1
2010-02-15,6.0
2010-03-15,12.42
2010-04-15,3.325
2010-05-15,17.68
2010-06-15,9.424999999999999
2010-07-15,22.05
2010-08-15,35.17999999999999
2010-09-15,13.825000000000001
2010-10-15,7.8
2010-11-15,12.299999999999999
2010-12-15,10.424999999999999
2011-01-15,11.580000000000002
2011-02-15,5.5249999999999995
2011-03-15,1.275
2011-04-15,4.7
2011-05-15,3.7399999999999998
2011-06-15,21.1
2011-07-15,14.025
2011-08-15,27.580000000000002
2011-09-15,12.174999999999999
2011-10-15,5.42
2011-11-15,0.575
2011-12-15,39.05
2012-01-15,20.599999999999998
2012-02-15,2.525
2012-03-15,2.9
2012-04-15,11.919999999999998
2012-05-15,13.875
2012-06-15,25.625
2012-07-15,20.72
2012-08-15,10.0
2012-09-15,11.825
2012-10-15,20.639999999999997
2012-11-15,15.625000000000002
2012-12-15,21.220000000000002
2013-01-15,4.6000000000000005
2013-02-15,4.5
2013-03-15,3.625
2013-04-15,11.02
2013-05-15,36.45
2013-06-15,40.224999999999994
2013-07-15,7.94
2013-08-15,13.325000000000003
2013-09-15,20.32
2013-10-15,32.875
2013-11-15,15.325000000000001
2013-12-15,5.675
