time,pr
2000-01-15,79.7
2000-02-15,70.2
2000-03-15,83.8
2000-04-15,21.0
2000-05-15,132.4
2000-06-15,17.7
2000-07-15,49.2
2000-08-15,14.9
2000-09-15,106.7
2000-10-15,115.2
2000-11-15,200.0
2000-12-15,101.3
2001-01-15,77.3
2001-02-15,83.0
2001-03-15,49.6
2001-04-15,136.1
2001-05-15,44.2
2001-06-15,27.8
2001-07-15,46.0
2001-08-15,144.9
2001-09-15,167.5
2001-10-15,44.0
2001-11-15,62.3
2001-12-15,66.7
2002-01-15,78.1
2002-02-15,87.1
2002-03-15,87.6
2002-04-15,78.30000000000001
2002-05-15,52.2
2002-06-15,63.5
2002-07-15,30.3
2002-08-15,110.6
2002-09-15,54.3
2002-10-15,76.6
2002-11-15,109.7
2002-12-15,34.8
2003-01-15,0.0
2003-02-15,0.0
2003-03-15,0.0
2003-04-15,0.0
2003-05-15,0.0
2003-06-15,0.0
2003-07-15,0.0
2003-08-15,0.0
2003-09-15,0.0
2003-10-15,0.0
2003-11-15,0.0
2003-12-15,0.0
2004-01-15,0.0
2004-02-15,131.7
2004-03-15,78.6
2004-04-15,22.4
2004-05-15,22.8
2004-06-15,50.6
2004-07-15,114.6
2004-08-15,102.3
2004-09-15,57.1
2004-10-15,91.8
2004-11-15,57.0
2004-12-15,47.3
2005-01-15,101.19999999999999
2005-02-15,80.0
2005-03-15,21.8
2005-04-15,79.7
2005-05-15,32.7
2005-06-15,37.5
2005-07-15,100.2
2005-08-15,130.0
2005-09-15,121.1
2005-10-15,39.7
2005-11-15,125.1
2005-12-15,108.15
2006-01-15,50.775
2006-02-15,37.5
2006-03-15,23.950000000000003
2006-04-15,43.6
2006-05-15,5.0
2006-06-15,44.599999999999994
2006-07-15,18.0
2006-08-15,2.0
2006-09-15,81.8
2006-10-15,45.3
2006-11-15,43.6
2006-12-15,50.2
2007-01-15,86.6
2007-02-15,0.0
2007-03-15,0.0
2007-04-15,0.0
2007-05-15,0.0
2007-06-15,0.0
2007-07-15,0.0
2007-08-15,0.0
2007-09-15,0.0
2007-10-15,0.0
2007-11-15,0.0
2007-12-15,0.0
2008-01-15,0.0
2008-02-15,0.0
2008-03-15,0.0
2008-04-15,0.0
2008-05-15,0.0
2008-06-15,0.0
2008-07-15,0.0
2008-08-15,0.0
2008-09-15,0.0
2008-10-15,0.0
2008-11-15,0.0
2008-12-15,0.0
2009-01-15,0.0
2009-02-15,0.0
2009-03-15,0.0
2009-04-15,0.0
2009-05-15,0.0
2009-06-15,0.0
2009-07-15,0.0
2009-08-15,0.0
2009-09-15,0.0
2009-10-15,0.0
2009-11-15,0.0
2009-12-15,0.0
2010-01-15,0.0
2010-02-15,0.0
2010-03-15,0.0
2010-04-15,0.0
2010-05-15,0.0
2010-06-15,0.0
2010-07-15,0.0
2010-08-15,0.0
2010-09-15,0.0
2010-10-15,0.0
2010-11-15,0.0
2010-12-15,0.0
2011-01-15,28.3
2011-02-15,12.75
2011-03-15,17.45
2011-04-15,0.8
2011-05-15,3.7
2011-06-15,2.5
2011-07-15,18.85
2011-08-15,37.3
2011-09-15,30.799999999999997
2011-10-15,25.200000000000003
2011-11-15,0.05
2011-12-15,29.75
2012-01-15,15.2
2012-02-15,1.95
2012-03-15,7.0
2012-04-15,1.65
2012-05-15,4.45
2012-06-15,10.8
2012-07-15,4.9
2012-08-15,55.199999999999996
2012-09-15,14.05
2012-10-15,32.9
2012-11-15,14.85
2012-12-15,19.25
2013-01-15,1.86
2013-02-15,14.15
2013-03-15,8.625
2013-04-15,2.4749999999999996
2013-05-15,5.375
2013-06-15,17.075
2013-07-15,15.05
2013-08-15,5.95
2013-09-15,38.875
2013-10-15,24.3
2013-11-15,26.025
2013-12-15,12.65
2014-01-15,22.814999999999998
2014-02-15,23.679285714285715
2014-03-15,23.68785714285714
2014-04-15,9.566428571428572
2014-05-15,12.483571428571429
2014-06-15,16.11357142857143
2014-07-15,13.494285714285713
2014-08-15,29.165
2014-09-15,29.00462962962963
2014-10-15,9.294285714285715
2014-11-15,7.535714285714286
2014-12-15,14.816428571428572
2015-01-15,28.422753623188406
2015-02-15,13.720714285714285
2015-03-15,8.227857142857143
2015-04-15,4.870833333333334
2015-05-15,2.93375
2015-06-15,4.879423076923077
2015-07-15,4.261363636363637
2015-08-15,19.545
2015-09-15,23.113684210526312
2015-10-15,12.41576923076923
2015-11-15,4.603125
2015-12-15,23.062083333333334
2016-01-15,6.6449404761904765
2016-02-15,15.528571428571428
2016-03-15,8.091071428571428
2016-04-15,7.0546428571428565
2016-05-15,5.501785714285714
2016-06-15,6.765714285714286
2016-07-15,6.913928571428571
2016-08-15,20.63321428571429
2016-09-15,5.796785714285715
2016-10-15,8.05607142857143
2016-11-15,8.1225
2016-12-15,12.020357142857142
2017-01-15,3.1475
2017-02-15,7.076785714285715
2017-03-15,8.447142857142858
2017-04-15,3.73
2017-05-15,4.318928571428572
2017-06-15,4.237142857142857
2017-07-15,21.871428571428574
2017-08-15,8.333214285714286
2017-09-15,29.92892857142857
2017-10-15,9.772142857142859
2017-11-15,9.037142857142857
2017-12-15,15.920714285714286
2018-01-15,11.842857142857143
2018-02-15,2.0949999999999998
2018-03-15,0.4464285714285714
2018-04-15,1.9692857142857143
2018-05-15,2.577857142857143
2018-06-15,0.6657142857142857
2018-07-15,0.8542857142857142
2018-08-15,2.04
2018-09-15,2.8792857142857144
2018-10-15,1.115
2018-11-15,1.822142857142857
2018-12-15,1.0271428571428571
2019-01-15,1.9128571428571428
2019-02-15,1.5292857142857144
2019-03-15,1.4514285714285715
2019-04-15,2.8264285714285715
2019-05-15,0.8014285714285714
2019-06-15,0.7164285714285714
2019-07-15,3.2921428571428573
2019-08-15,1.5121428571428572
2019-09-15,2.0114285714285716
2019-10-15,6.5649999999999995
2019-11-15,3.241428571428571
2019-12-15,2.8121428571428573
